title,Bag_of_words
Porno, fiction contemporary irvinewelsh federicocorriente (translator) diez años después de trainspotting sick boy está en franca decadencia acaba dejar su piso un barrio pijo londres se ha mudado agujero miserable tras una noche drogas sexo indiscriminados decide aceptar la oferta tía paula lo dejará cargo pub leith marchará con amante español alicante pero el port sunshine negocio
Under the Volcano, fiction classics malcolmlowry geoffrey firmin former british consul come quauhnahuac mexico debilitating malaise drinking activity overshadowed life fateful day — dead wife yvonne arrives inspired vision together away circumstance driven relationshi
At Swim-Two-Birds, fiction classics flanno'brien williamh.gass (introduction) wildly comic send irish literature culture swim two bird story young lazy frequently drunk college student life curmudgeonly uncle dublin bed seems spend time reading composing mischief filled novel dermot trellis second rate author whose character ultimate
Plain Truth, fiction mystery jodipicoult small town paradise pennsylvania jewel lancaster county known picture postcard landscape bucolic lifestyle peace shattered discovery dead infant barn amish farmer police investigation quickly lead two startling disclosure newborn mother unmarried woman eighteen year old katie
Falling Up, poetry childrens shelsilverstein millie mcdeevit screamed screamso loud made eyebrow steam loudher jawbone broke tongue caught fire nostril smoked ... poor screamin one unforgettable character wondrous new book poem drawing creator sidewalk end light attic also meet allison beals
The Zahir, fiction novels paulocoelho margaretjullcosta (translator) narrator zahir bestselling novelist life paris enjoys privilege money celebrity bring wife ten year esther war correspondent disappeared along friend mikhail may lover kidnapped murdered simply escape marriage left unfulfilled
A Hunger Like No Other, fantasy paranormal kresleycole new york time usa today bestselling author kresley cole ’ sizzling series fierce werewolf bewitching vampire become unlikely soul mate whose passion test boundary life death enduring year torture horde lachlain macrieve leader lykae clan enraged find predestined mate waited millennium fo
A Visit from the Goon Squad, fiction contemporary jenniferegan jennifer egan ’ spellbinding interlocking narrative circle life bennie salazar aging former punk rocker record executive sasha passionate troubled young woman employ although never discover past reader intimate detail along secret host character whose path intersec
Heart of Darkness and The Secret Sharer, classics fiction josephconrad heart darkness story civilized enlightened mr kurtz embarks harrowing night journey savage africa find dark evil soul secret sharer saga young inexperienced skipper forced decide fate fugitive sailor killed man self defense face first moral test disco
Bumi Manusia, fiction historical pramoedyaanantatoer roman tetralogi buru mengambil latar belakang dan cikal bakal nation indonesia di awal abad ke 20 dengan membacanya waktu kita dibalikkan sedemikian rupa hidup era membibitnya pergerakan nasional mula juga pertautan rasa kegamangan jiwa percintaan pertarungan kekuatan anonim para srikandi yang mengawal penyemaian bangunan kemudian kelak
Kürk Mantolu Madonna, asianliterature turkishliterature sabahattinali gün daima öğleden sonra oraya gidiyor koridorlardaki resimlere bakıyormuş gibi ağır fakat büyük bir sabırsızlıkla asıl hedefine varmak isteyen adımlarımı zorla zapt ederek geziniyor rastgele gözüme çarpmış önünde durduğum kürk mantolu madonna yı seyre dalıyor ta kapılar kapanıncaya kadar orada bekliyordum kimi tutkular rehberimiz olur yaşam boyunca kol
Wyrd Sisters, fantasy fiction terrypratchett kingdom wobble crown topple knife flash magical discworld statutory three witch meddle royal politics wyrd sister battle frightful odds put rightful king throne least think ...
I've Got Your Number, womensfiction chicklit sophiekinsella ’ lost :( thing world supposed lose engagement ring magnus family three generation day parent coming hyperventilate poppy stay positive :) !! wyatt never felt luckier marry ideal man tavish
